caseid,task,arrive:timestamp,start:timestamp,time:timestamp,role,open_cases,st_tsk_wip,queue,event_nr,hour,month,timesincecasestart,timesincelastevent,timesincemidnight,weekday,attrib_trace,label
81801,Homologacion por grupo de cursos,2016-02-03 08:03:14,2016-02-03 08:03:14,2016-02-03 09:11:05,1007,46,0.5632560483870968,0,1,8,2,2979.366666666667,2979.366666666667,483.23333333333335,3,{'lifecycle:transition': 'complete'},deviant
81802,Traer informacion estudiante - banner,2016-02-03 09:22:13,2016-02-03 09:22:13,2016-02-03 09:22:13,8997,47,0.0,0,1,9,2,3058.35,3058.35,562.2166666666667,3,{'lifecycle:transition': 'complete'},deviant
81803,Traer informacion estudiante - banner,2016-02-03 09:29:30,2016-02-03 09:29:30,2016-02-03 09:29:30,8997,48,0.0,0,1,9,2,3065.633333333333,3065.633333333333,569.5,3,{'lifecycle:transition': 'complete'},deviant
81804,Traer informacion estudiante - banner,2016-02-03 09:39:44,2016-02-03 09:39:44,2016-02-03 09:39:44,8997,49,0.0,0,1,9,2,3075.866666666667,3075.866666666667,579.7333333333333,3,{'lifecycle:transition': 'complete'},deviant
81805,Traer informacion estudiante - banner,2016-02-03 09:54:27,2016-02-03 09:54:27,2016-02-03 09:54:27,8997,50,0.0,0,1,9,2,3090.5833333333335,3090.5833333333335,594.45,3,{'lifecycle:transition': 'complete'},deviant
81801,Traer informacion estudiante - banner,2016-02-03 09:11:05,2016-02-03 10:01:32,2016-02-03 10:01:32,8997,46,0.0,0,2,10,2,3097.6666666666665,118.3,601.5333333333333,3,{'lifecycle:transition': 'complete'},deviant
81802,Radicar Solicitud Homologacion,2016-02-03 09:22:13,2016-02-03 10:52:12,2016-02-03 10:52:17,8997,47,0.10231854838709678,0,2,10,2,3148.3333333333335,89.98333333333333,652.2,3,{'lifecycle:transition': 'complete'},deviant
81803,Radicar Solicitud Homologacion,2016-02-03 09:29:30,2016-02-03 10:57:15,2016-02-03 10:57:22,8997,48,0.10231854838709678,0,2,10,2,3153.383333333333,87.75,657.25,3,{'lifecycle:transition': 'complete'},deviant
81801,Radicar Solicitud Homologacion,2016-02-03 10:01:32,2016-02-03 10:57:37,2016-02-03 10:58:17,8997,50,0.10231854838709678,0,3,10,2,3153.75,56.083333333333336,657.6166666666667,3,{'lifecycle:transition': 'complete'},deviant
81804,Radicar Solicitud Homologacion,2016-02-03 09:39:44,2016-02-03 11:05:18,2016-02-03 11:05:27,8997,49,0.10231854838709678,0,2,11,2,3161.4333333333334,85.56666666666666,665.3,3,{'lifecycle:transition': 'complete'},deviant
81805,Radicar Solicitud Homologacion,2016-02-03 09:54:27,2016-02-03 11:17:52,2016-02-03 11:17:56,8997,50,0.10231854838709678,0,2,11,2,3174.0,83.41666666666667,677.8666666666667,3,{'lifecycle:transition': 'complete'},deviant
81801,Validar solicitud,2016-02-03 10:58:17,2016-02-03 12:07:34,2016-02-03 12:07:34,19019,50,0.24168346774193547,0,4,12,2,3223.7,69.95,727.5666666666667,3,{'lifecycle:transition': 'complete'},deviant
81802,Validar solicitud,2016-02-03 10:52:17,2016-02-03 12:48:53,2016-02-03 12:50:16,387,50,0.24168346774193547,0,3,12,2,3265.016666666667,116.68333333333334,768.8833333333333,3,{'lifecycle:transition': 'complete'},deviant
81803,Validar solicitud,2016-02-03 10:57:22,2016-02-03 12:52:16,2016-02-03 12:53:31,387,50,0.24168346774193547,0,3,12,2,3268.4,115.01666666666667,772.2666666666667,3,{'lifecycle:transition': 'complete'},deviant
81804,Validar solicitud,2016-02-03 11:05:27,2016-02-03 12:58:41,2016-02-03 12:59:44,387,50,0.24168346774193547,0,3,12,2,3274.8166666666666,113.38333333333334,778.6833333333333,3,{'lifecycle:transition': 'complete'},deviant
81805,Validar solicitud,2016-02-03 11:17:56,2016-02-03 13:09:32,2016-02-03 13:10:27,387,50,0.24168346774193547,0,3,13,2,3285.6666666666665,111.66666666666667,789.5333333333333,3,{'lifecycle:transition': 'complete'},deviant
81851,Cancelar Solicitud,2016-02-03 09:04:59,2016-02-03 13:14:12,2016-02-03 13:30:42,22475,46,0.26537298387096775,0,3,13,2,3290.3333333333335,255.23333333333332,794.2,3,{'lifecycle:transition': 'complete'},deviant
81951,Traer informacion estudiante - banner,2016-02-03 14:22:37,2016-02-03 14:22:37,2016-02-03 14:22:37,8443,50,0.0,0,1,14,2,3358.75,3358.75,862.6166666666667,3,{'lifecycle:transition': 'complete'},deviant
82008,Traer informacion estudiante - banner,2016-02-03 16:08:17,2016-02-03 16:08:17,2016-02-03 16:08:17,955,51,0.0,0,1,16,2,3464.4166666666665,3464.4166666666665,968.2833333333333,3,{'lifecycle:transition': 'complete'},deviant
82009,Traer informacion estudiante - banner,2016-02-03 16:20:30,2016-02-03 16:20:30,2016-02-03 16:20:30,955,52,0.0,0,1,16,2,3476.633333333333,3476.633333333333,980.5,3,{'lifecycle:transition': 'complete'},deviant
82008,Radicar Solicitud Homologacion,2016-02-03 16:08:17,2016-02-03 16:27:25,2016-02-03 16:27:36,955,51,0.10231854838709678,0,2,16,2,3483.55,19.133333333333333,987.4166666666666,3,{'lifecycle:transition': 'complete'},deviant
81951,Radicar Solicitud Homologacion,2016-02-03 14:22:37,2016-02-03 16:05:10,2016-02-03 16:32:47,8443,50,0.10231854838709678,0,2,16,2,3461.3,102.55,965.1666666666666,3,{'lifecycle:transition': 'complete'},deviant
82009,Radicar Solicitud Homologacion,2016-02-03 16:20:30,2016-02-03 16:38:30,2016-02-03 16:38:38,955,52,0.10231854838709678,0,2,16,2,3494.633333333333,18.0,998.5,3,{'lifecycle:transition': 'complete'},deviant
81803,Homologacion por grupo de cursos,2016-02-03 12:53:31,2016-02-03 14:23:53,2016-02-03 17:29:00,22491,49,0.5632560483870968,0,4,14,2,3360.016666666667,91.61666666666666,863.8833333333333,3,{'lifecycle:transition': 'complete'},deviant
82008,Validar solicitud,2016-02-03 16:27:36,2016-02-03 16:46:34,2016-02-03 17:31:53,1707,52,0.24168346774193547,0,3,16,2,3502.7,19.15,1006.5666666666667,3,{'lifecycle:transition': 'complete'},deviant
82009,Validar solicitud,2016-02-03 16:38:38,2016-02-03 17:31:53,2016-02-03 18:17:02,1707,52,0.24168346774193547,0,3,16,2,3513.133333333333,18.5,1017.0,3,{'lifecycle:transition': 'complete'},deviant
82151,Traer informacion estudiante - banner,2016-02-03 18:39:02,2016-02-03 18:39:02,2016-02-03 18:39:02,6186,52,0.0,0,1,18,2,3615.1666666666665,3615.1666666666665,1119.0333333333333,3,{'lifecycle:transition': 'complete'},deviant
82054,Traer informacion estudiante - banner,2016-02-03 19:15:40,2016-02-03 19:15:40,2016-02-03 19:15:40,18289,53,0.0,0,1,19,2,3651.8,3651.8,1155.6666666666667,3,{'lifecycle:transition': 'complete'},deviant
82008,Homologacion por grupo de cursos,2016-02-03 17:31:53,2016-02-03 17:45:08,2016-02-03 20:01:28,15930,51,0.5632560483870968,0,4,17,2,3561.266666666667,58.56666666666667,1065.1333333333334,3,{'lifecycle:transition': 'complete'},deviant
82101,Traer informacion estudiante - banner,2016-02-03 20:31:58,2016-02-03 20:31:58,2016-02-03 20:31:58,16695,53,0.0,0,1,20,2,3728.1,3728.1,1231.9666666666667,3,{'lifecycle:transition': 'complete'},deviant
82151,Radicar Solicitud Homologacion,2016-02-03 18:39:02,2016-02-03 20:32:00,2016-02-03 20:32:00,6186,52,0.10231854838709678,0,2,20,2,3728.133333333333,112.96666666666667,1232.0,3,{'lifecycle:transition': 'complete'},deviant
82102,Traer informacion estudiante - banner,2016-02-03 20:55:28,2016-02-03 20:55:28,2016-02-03 20:55:28,528,54,0.0,0,1,20,2,3751.6,3751.6,1255.4666666666667,3,{'lifecycle:transition': 'complete'},deviant
82054,Radicar Solicitud Homologacion,2016-02-03 19:15:40,2016-02-03 21:05:49,2016-02-03 21:05:49,18289,53,0.10231854838709678,0,2,21,2,3761.95,110.15,1265.8166666666666,3,{'lifecycle:transition': 'complete'},deviant
81951,Cancelar Solicitud,2016-02-03 16:32:47,2016-02-03 20:44:43,2016-02-03 22:10:03,8443,52,0.26537298387096775,0,3,20,2,3740.85,279.55,1244.7166666666667,3,{'lifecycle:transition': 'complete'},deviant
82009,Homologacion por grupo de cursos,2016-02-03 18:17:02,2016-02-03 20:01:28,2016-02-03 22:14:56,15930,51,0.5632560483870968,0,4,18,2,3608.5666666666666,95.43333333333334,1112.4333333333334,3,{'lifecycle:transition': 'complete'},deviant
82101,Radicar Solicitud Homologacion,2016-02-03 20:31:58,2016-02-03 22:22:07,2016-02-03 22:23:04,16695,53,0.10231854838709678,0,2,22,2,3838.25,110.15,1342.1166666666666,3,{'lifecycle:transition': 'complete'},deviant
82102,Radicar Solicitud Homologacion,2016-02-03 20:55:28,2016-02-03 22:42:53,2016-02-03 22:42:53,528,54,0.10231854838709678,0,2,22,2,3859.016666666667,107.41666666666667,1362.8833333333334,3,{'lifecycle:transition': 'complete'},deviant
81802,Homologacion por grupo de cursos,2016-02-03 12:50:16,2016-02-03 14:21:53,2016-02-03 23:09:27,1007,49,0.5632560483870968,0,4,14,2,3358.016666666667,93.0,861.8833333333333,3,{'lifecycle:transition': 'complete'},deviant
82251,Traer informacion estudiante - banner,2016-02-03 23:20:38,2016-02-03 23:20:38,2016-02-03 23:20:38,8916,53,0.0,0,1,23,2,3896.766666666667,3896.766666666667,1400.6333333333334,3,{'lifecycle:transition': 'complete'},deviant
81804,Homologacion por grupo de cursos,2016-02-03 12:59:44,2016-02-03 23:09:27,2016-02-03 23:28:30,1007,49,0.5632560483870968,0,4,14,2,3365.016666666667,90.2,868.8833333333333,3,{'lifecycle:transition': 'complete'},deviant
81805,Homologacion por grupo de cursos,2016-02-03 13:10:27,2016-02-03 23:28:30,2016-02-03 23:47:33,1007,49,0.5632560483870968,0,4,14,2,3374.5,88.83333333333333,878.3666666666667,3,{'lifecycle:transition': 'complete'},deviant
82301,Traer informacion estudiante - banner,2016-02-04 00:55:23,2016-02-04 00:55:23,2016-02-04 00:55:23,19019,52,0.0,0,1,0,2,3991.516666666667,3991.516666666667,55.38333333333333,4,{'lifecycle:transition': 'complete'},deviant
82251,Radicar Solicitud Homologacion,2016-02-03 23:20:38,2016-02-04 00:55:42,2016-02-04 00:55:42,8916,53,0.10231854838709678,0,2,0,2,3991.8333333333335,95.06666666666666,55.7,4,{'lifecycle:transition': 'complete'},deviant
82054,Validar solicitud,2016-02-03 21:05:49,2016-02-04 01:07:11,2016-02-04 01:21:28,22475,54,0.24168346774193547,0,3,1,2,4003.3166666666666,241.36666666666667,67.18333333333334,4,{'lifecycle:transition': 'complete'},deviant
82101,Validar solicitud,2016-02-03 22:23:04,2016-02-04 02:04:06,2016-02-04 02:11:58,659,53,0.24168346774193547,0,3,2,2,4060.233333333333,221.98333333333332,124.1,4,{'lifecycle:transition': 'complete'},deviant
82102,Validar solicitud,2016-02-03 22:42:53,2016-02-04 02:22:09,2016-02-04 02:49:32,716,53,0.24168346774193547,0,3,2,2,4078.2833333333333,219.26666666666668,142.15,4,{'lifecycle:transition': 'complete'},deviant
81201,Notificacion estudiante cancelacion soli,2016-02-02 01:51:29,2016-02-04 04:03:46,2016-02-04 04:03:46,8916,43,0.0,0,3,4,2,4179.9,3028.2833333333333,243.76666666666668,4,{'lifecycle:transition': 'complete'},deviant
82251,Validar solicitud,2016-02-04 00:55:42,2016-02-04 05:35:39,2016-02-04 05:45:35,669,52,0.24168346774193547,0,3,5,2,4271.783333333334,279.95,335.65,4,{'lifecycle:transition': 'complete'},deviant
82151,Cancelar Solicitud,2016-02-03 20:32:00,2016-02-04 05:51:35,2016-02-04 06:41:20,22404,53,0.26537298387096775,0,3,5,2,4287.716666666666,559.5833333333334,351.5833333333333,4,{'lifecycle:transition': 'complete'},deviant
82503,Traer informacion estudiante - banner,2016-02-04 07:47:27,2016-02-04 07:47:27,2016-02-04 07:47:27,8528,53,0.0,0,1,7,2,4403.583333333333,4403.583333333333,467.45,4,{'lifecycle:transition': 'complete'},deviant
82505,Traer informacion estudiante - banner,2016-02-04 08:06:44,2016-02-04 08:06:44,2016-02-04 08:06:44,8528,54,0.0,0,1,8,2,4422.866666666667,4422.866666666667,486.73333333333335,4,{'lifecycle:transition': 'complete'},deviant
82506,Traer informacion estudiante - banner,2016-02-04 08:16:32,2016-02-04 08:16:32,2016-02-04 08:16:32,2804,55,0.0,0,1,8,2,4432.666666666667,4432.666666666667,496.53333333333336,4,{'lifecycle:transition': 'complete'},deviant
82507,Traer informacion estudiante - banner,2016-02-04 08:18:19,2016-02-04 08:18:19,2016-02-04 08:18:19,8528,56,0.0,0,1,8,2,4434.45,4434.45,498.31666666666666,4,{'lifecycle:transition': 'complete'},deviant
82101,Homologacion por grupo de cursos,2016-02-04 02:11:58,2016-02-04 08:22:23,2016-02-04 08:22:56,1422,52,0.5632560483870968,0,4,8,2,4438.516666666666,378.28333333333336,502.3833333333333,4,{'lifecycle:transition': 'complete'},deviant
82508,Traer informacion estudiante - banner,2016-02-04 08:24:47,2016-02-04 08:24:47,2016-02-04 08:24:47,8528,56,0.0,0,1,8,2,4440.916666666667,4440.916666666667,504.78333333333336,4,{'lifecycle:transition': 'complete'},deviant
82054,Homologacion por grupo de cursos,2016-02-04 01:21:28,2016-02-04 08:21:18,2016-02-04 08:54:20,1343,52,0.5632560483870968,0,4,8,2,4437.433333333333,434.1166666666667,501.3,4,{'lifecycle:transition': 'complete'},deviant
82102,Homologacion por grupo de cursos,2016-02-04 02:49:32,2016-02-04 08:57:02,2016-02-04 10:25:45,7394,52,0.5632560483870968,0,4,8,2,4473.166666666667,394.8833333333333,537.0333333333333,4,{'lifecycle:transition': 'complete'},deviant
82301,Radicar Solicitud Homologacion,2016-02-04 00:55:23,2016-02-04 12:39:19,2016-02-04 12:51:39,19019,52,0.10231854838709678,0,2,12,2,4695.45,703.9333333333333,759.3166666666667,4,{'lifecycle:transition': 'complete'},deviant
82655,Validar solicitud,2016-02-04 13:49:43,2016-02-04 13:49:43,2016-02-04 13:59:50,22475,55,0.24168346774193547,0,1,13,2,4765.85,4765.85,829.7166666666667,4,{'lifecycle:transition': 'complete'},deviant
81851,Notificacion estudiante cancelacion soli,2016-02-03 13:30:42,2016-02-04 13:59:50,2016-02-04 13:59:50,22475,49,0.0,0,4,13,2,4771.883333333333,1481.55,835.75,4,{'lifecycle:transition': 'complete'},deviant
82604,Traer informacion estudiante - banner,2016-02-04 14:15:57,2016-02-04 14:15:57,2016-02-04 14:15:57,8450,55,0.0,0,1,14,2,4792.083333333333,4792.083333333333,855.95,4,{'lifecycle:transition': 'complete'},deviant
82651,Traer informacion estudiante - banner,2016-02-04 16:01:04,2016-02-04 16:01:04,2016-02-04 16:01:04,2925,56,0.0,0,1,16,2,4897.2,4897.2,961.0666666666667,4,{'lifecycle:transition': 'complete'},deviant
82652,Traer informacion estudiante - banner,2016-02-04 16:08:03,2016-02-04 16:08:03,2016-02-04 16:08:03,3421,57,0.0,0,1,16,2,4904.183333333333,4904.183333333333,968.05,4,{'lifecycle:transition': 'complete'},deviant
82801,Traer informacion estudiante - banner,2016-02-04 17:29:25,2016-02-04 17:29:25,2016-02-04 17:29:25,5571,58,0.0,0,1,17,2,4985.55,4985.55,1049.4166666666667,4,{'lifecycle:transition': 'complete'},deviant
82701,Traer informacion estudiante - banner,2016-02-04 18:33:33,2016-02-04 18:33:33,2016-02-04 18:33:33,26147,59,0.0,0,1,18,2,5049.683333333333,5049.683333333333,1113.55,4,{'lifecycle:transition': 'complete'},deviant
82507,Radicar Solicitud Homologacion,2016-02-04 08:18:19,2016-02-04 18:54:56,2016-02-04 18:54:57,8528,56,0.10231854838709678,0,2,18,2,5071.066666666667,636.6166666666667,1134.9333333333334,4,{'lifecycle:transition': 'complete'},deviant
82506,Radicar Solicitud Homologacion,2016-02-04 08:16:32,2016-02-04 19:09:33,2016-02-04 19:09:40,2804,55,0.10231854838709678,0,2,19,2,5085.683333333333,653.0166666666667,1149.55,4,{'lifecycle:transition': 'complete'},deviant
82503,Radicar Solicitud Homologacion,2016-02-04 07:47:27,2016-02-04 19:14:07,2016-02-04 19:14:13,8528,53,0.10231854838709678,0,2,19,2,5090.25,686.6666666666666,1154.1166666666666,4,{'lifecycle:transition': 'complete'},deviant
82505,Radicar Solicitud Homologacion,2016-02-04 08:06:44,2016-02-04 19:16:26,2016-02-04 19:16:31,8528,54,0.10231854838709678,0,2,19,2,5092.566666666667,669.7,1156.4333333333334,4,{'lifecycle:transition': 'complete'},deviant
82508,Radicar Solicitud Homologacion,2016-02-04 08:24:47,2016-02-04 20:32:14,2016-02-04 20:32:22,8528,56,0.10231854838709678,0,2,20,2,5168.366666666667,727.45,1232.2333333333333,4,{'lifecycle:transition': 'complete'},deviant
82655,Traer informacion estudiante - banner,2016-02-04 13:59:50,2016-02-05 00:28:52,2016-02-05 00:28:52,19019,55,0.0,0,2,0,2,5405.0,639.15,28.866666666666667,5,{'lifecycle:transition': 'complete'},deviant
81951,Notificacion estudiante cancelacion soli,2016-02-03 22:10:03,2016-02-05 01:02:53,2016-02-05 01:02:53,8443,54,0.0,0,4,1,2,5439.016666666666,1698.1666666666667,62.88333333333333,5,{'lifecycle:transition': 'complete'},deviant
82604,Radicar Solicitud Homologacion,2016-02-04 14:15:57,2016-02-05 01:08:58,2016-02-05 01:09:06,8450,55,0.10231854838709678,0,2,1,2,5445.1,653.0166666666667,68.96666666666667,5,{'lifecycle:transition': 'complete'},deviant
82652,Radicar Solicitud Homologacion,2016-02-04 16:08:03,2016-02-05 02:28:33,2016-02-05 02:28:50,3421,57,0.10231854838709678,0,2,2,2,5524.683333333333,620.5,148.55,5,{'lifecycle:transition': 'complete'},deviant
82651,Radicar Solicitud Homologacion,2016-02-04 16:01:04,2016-02-05 02:37:41,2016-02-05 02:38:06,2925,56,0.10231854838709678,0,2,2,2,5533.816666666667,636.6166666666667,157.68333333333334,5,{'lifecycle:transition': 'complete'},deviant
82251,Cancelar Solicitud,2016-02-04 05:45:35,2016-02-05 02:04:42,2016-02-05 02:44:07,8916,52,0.26537298387096775,0,4,2,2,5500.833333333333,1229.05,124.7,5,{'lifecycle:transition': 'complete'},deviant
82801,Radicar Solicitud Homologacion,2016-02-04 17:29:25,2016-02-05 03:34:05,2016-02-05 03:34:35,5571,58,0.10231854838709678,0,2,3,2,5590.216666666666,604.6666666666666,214.08333333333334,5,{'lifecycle:transition': 'complete'},deviant
82701,Radicar Solicitud Homologacion,2016-02-04 18:33:33,2016-02-05 04:22:39,2016-02-05 04:42:13,26147,59,0.10231854838709678,0,2,4,2,5638.783333333334,589.1,262.65,5,{'lifecycle:transition': 'complete'},deviant
82655,Radicar Solicitud Homologacion,2016-02-05 00:28:52,2016-02-05 08:52:39,2016-02-05 08:52:39,19019,59,0.10231854838709678,0,3,8,2,5908.783333333334,503.78333333333336,532.65,5,{'lifecycle:transition': 'complete'},deviant
82301,Validar solicitud,2016-02-04 12:51:39,2016-02-05 10:25:46,2016-02-05 10:25:46,387,54,0.24168346774193547,0,3,10,2,6001.9,1306.45,625.7666666666667,5,{'lifecycle:transition': 'complete'},deviant
82652,Validar solicitud,2016-02-05 02:28:50,2016-02-05 11:55:59,2016-02-05 12:03:36,19019,58,0.24168346774193547,0,3,11,2,6092.116666666667,567.4333333333333,715.9833333333333,5,{'lifecycle:transition': 'complete'},deviant
82651,Validar solicitud,2016-02-05 02:38:06,2016-02-05 12:19:50,2016-02-05 12:43:23,49,58,0.24168346774193547,0,3,12,2,6115.966666666666,582.15,739.8333333333334,5,{'lifecycle:transition': 'complete'},deviant
82604,Validar solicitud,2016-02-05 01:09:06,2016-02-05 11:05:42,2016-02-05 12:45:17,18929,58,0.24168346774193547,0,3,11,2,6041.833333333333,596.7333333333333,665.7,5,{'lifecycle:transition': 'complete'},deviant
82801,Validar solicitud,2016-02-05 03:34:35,2016-02-05 12:47:26,2016-02-05 12:49:16,669,58,0.24168346774193547,0,3,12,2,6143.566666666667,553.35,767.4333333333333,5,{'lifecycle:transition': 'complete'},deviant
82507,Validar solicitud,2016-02-04 18:54:57,2016-02-05 13:40:34,2016-02-05 13:50:03,6694,59,0.24168346774193547,0,3,13,2,6196.7,1125.6333333333334,820.5666666666667,5,{'lifecycle:transition': 'complete'},deviant
82701,Validar solicitud,2016-02-05 04:42:13,2016-02-05 13:41:03,2016-02-05 14:13:28,7080,58,0.24168346774193547,0,3,13,2,6197.183333333333,558.4,821.05,5,{'lifecycle:transition': 'complete'},deviant
82506,Validar solicitud,2016-02-04 19:09:40,2016-02-05 14:21:08,2016-02-05 14:36:43,677,59,0.24168346774193547,0,3,14,2,6237.266666666666,1151.5833333333333,861.1333333333333,5,{'lifecycle:transition': 'complete'},deviant
82655,Homologacion por grupo de cursos,2016-02-05 08:52:39,2016-02-05 15:56:01,2016-02-05 16:29:12,1343,58,0.5632560483870968,0,4,15,2,6332.15,423.3666666666667,956.0166666666667,5,{'lifecycle:transition': 'complete'},deviant
82651,Homologacion por grupo de cursos,2016-02-05 12:43:23,2016-02-05 19:41:57,2016-02-05 19:43:25,2541,58,0.5632560483870968,0,4,19,2,6558.083333333333,442.1166666666667,1181.95,5,{'lifecycle:transition': 'complete'},deviant
82503,Cancelar Solicitud,2016-02-04 19:14:13,2016-02-05 20:07:00,2016-02-05 20:07:11,8528,59,0.26537298387096775,0,3,20,2,6583.133333333333,1492.8833333333334,1207.0,5,{'lifecycle:transition': 'complete'},deviant
82508,Validar solicitud,2016-02-04 20:32:22,2016-02-05 19:30:58,2016-02-05 20:14:24,1707,59,0.24168346774193547,0,3,19,2,6547.1,1378.7333333333333,1170.9666666666667,5,{'lifecycle:transition': 'complete'},deviant
82801,Homologacion por grupo de cursos,2016-02-05 12:49:16,2016-02-05 19:49:04,2016-02-05 20:26:32,1343,58,0.5632560483870968,0,4,19,2,6565.2,421.6333333333333,1189.0666666666666,5,{'lifecycle:transition': 'complete'},deviant
82505,Cancelar Solicitud,2016-02-04 19:16:31,2016-02-05 20:14:24,2016-02-05 20:58:11,1707,59,0.26537298387096775,0,3,19,2,6556.166666666667,1463.6,1180.0333333333333,5,{'lifecycle:transition': 'complete'},deviant
82652,Homologacion por grupo de cursos,2016-02-05 12:03:36,2016-02-05 18:53:27,2016-02-06 03:21:50,1007,58,0.5632560483870968,0,4,18,2,6509.583333333333,417.46666666666664,1133.45,5,{'lifecycle:transition': 'complete'},deviant
82604,Homologacion por grupo de cursos,2016-02-05 12:45:17,2016-02-05 20:11:36,2016-02-06 05:02:26,18929,58,0.5632560483870968,0,4,20,2,6587.733333333334,545.9,1211.6,5,{'lifecycle:transition': 'complete'},deviant
82507,Homologacion por grupo de cursos,2016-02-05 13:50:03,2016-02-06 03:06:05,2016-02-06 05:40:15,6990,58,0.5632560483870968,0,4,3,2,7002.216666666666,805.5166666666667,186.08333333333334,6,{'lifecycle:transition': 'complete'},deviant
82506,Homologacion por grupo de cursos,2016-02-05 14:36:43,2016-02-06 04:34:30,2016-02-06 06:22:30,3445,58,0.5632560483870968,0,4,4,2,7090.633333333333,853.3666666666667,274.5,6,{'lifecycle:transition': 'complete'},deviant
82301,Recepcion de documentos,2016-02-05 10:25:46,2016-02-06 01:39:01,2016-02-06 13:47:01,19019,58,0.014868951612903226,0,4,1,2,6915.15,913.25,99.01666666666667,6,{'lifecycle:transition': 'complete'},deviant
82701,Cancelar Solicitud,2016-02-05 14:13:28,2016-02-06 14:25:55,2016-02-06 15:07:57,7080,58,0.26537298387096775,0,4,14,2,7682.05,1484.8666666666666,865.9166666666666,6,{'lifecycle:transition': 'complete'},deviant
82508,Homologacion por grupo de cursos,2016-02-05 20:14:24,2016-02-06 16:37:30,2016-02-06 19:23:01,15930,56,0.5632560483870968,0,4,16,2,7813.633333333333,1266.5333333333333,997.5,6,{'lifecycle:transition': 'complete'},deviant
